value	start	length
a	a	1
a	a	1
aa	a	2
aal	a	3
aalii	a	5
aam	a	3
aani	a	4
aardvark	a	8
aardwolf	a	8
aaron	a	5
aaronic	a	7
aaronical	a	9
aaronite	a	8
aaronitic	a	9
aaru	a	4
ab	a	2
aba	a	3
ababdeh	a	7
ababua	a	6
abac	a	4
abaca	a	5
abacate	a	7
abacay	a	6
abacinate	a	9
abacination	a	11
abaciscus	a	9
abacist	a	7
aback	a	5
abactinal	a	9
abactinally	a	11
abaction	a	8
abactor	a	7
abaculus	a	8
abacus	a	6
abadite	a	7
abaff	a	5
abaft	a	5
abaisance	a	9
abaiser	a	7
abaissed	a	8
abalienate	a	10
abalienation	a	12
abalone	a	7
abama	a	5
abampere	a	8
abandon	a	7
abandonable	a	11
abandoned	a	9
abandonedly	a	11
abandonee	a	9
abandoner	a	9
abandonment	a	11
abanic	a	6
abantes	a	7
abaptiston	a	10
abarambo	a	8
abaris	a	6
abarthrosis	a	11
abarticular	a	11
abarticulation	a	14
abas	a	4
abase	a	5
abased	a	6
abasedly	a	8
abasedness	a	10
abasement	a	9
abaser	a	6
abasgi	a	6
abash	a	5
abashed	a	7
abashedly	a	9
abashedness	a	11
abashless	a	9
abashlessly	a	11
abashment	a	9
abasia	a	6
abasic	a	6
abask	a	5
abassin	a	7
abastardize	a	11
abatable	a	8
abate	a	5
abatement	a	9
abater	a	6
abatis	a	6
abatised	a	8
abaton	a	6
abator	a	6
abattoir	a	8
abatua	a	6
abature	a	7
abave	a	5
abaxial	a	7
abaxile	a	7
abaze	a	5
abb	a	3
abba	a	4
abbacomes	a	9
abbacy	a	6
abbadide	a	8
abbas	a	5
abbasi	a	6
abbassi	a	7
abbasside	a	9
abbatial	a	8
abbatical	a	9
abbess	a	6
abbey	a	5
abbeystede	a	10
abbie	a	5
abbot	a	5
abbotcy	a	7
abbotnullius	a	12
abbotship	a	9
abbreviate	a	10
abbreviately	a	12
abbreviation	a	12
abbreviator	a	11
abbreviatory	a	12
abbreviature	a	12
abby	a	4
abcoulomb	a	9
abdal	a	5
abdat	a	5
abderian	a	8
abderite	a	8
abdest	a	6
abdicable	a	9
abdicant	a	8
abdicate	a	8
abdication	a	10
abdicative	a	10
abdicator	a	9
abdiel	a	6
abditive	a	8
abditory	a	8
abdomen	a	7
abdominal	a	9
abdominales	a	11
abdominalian	a	12
abdominally	a	11
abdominoanterior	a	16
abdominocardiac	a	15
abdominocentesis	a	16
abdominocystic	a	14
abdominogenital	a	15
abdominohysterectomy	a	20
abdominohysterotomy	a	19
abdominoposterior	a	17
abdominoscope	a	13
abdominoscopy	a	13
abdominothoracic	a	16
abdominous	a	10
abdominovaginal	a	15
abdominovesical	a	15
abduce	a	6
abducens	a	8
abducent	a	8
abduct	a	6
abduction	a	9
abductor	a	8
abe	a	3
abeam	a	5
abear	a	5
abearance	a	9
abecedarian	a	11
abecedarium	a	11
abecedary	a	9
abed	a	4
abeigh	a	6
abel	a	4
abele	a	5
abelia	a	6
abelian	a	7
abelicea	a	8
abelite	a	7
abelite	a	7
abelmoschus	a	11
abelmosk	a	8
abelonian	a	9
abeltree	a	8
abencerrages	a	12
abenteric	a	9
abepithymia	a	11
aberdeen	a	8
aberdevine	a	10
aberdonian	a	10
aberia	a	6
aberrance	a	9
aberrancy	a	9
aberrant	a	8
aberrate	a	8
aberration	a	10
aberrational	a	12
aberrator	a	9
aberrometer	a	11
aberroscope	a	11
aberuncator	a	11
abet	a	4
abetment	a	8
abettal	a	7
abettor	a	7
abevacuation	a	12
abey	a	4
abeyance	a	8
abeyancy	a	8
abeyant	a	7
abfarad	a	7
abhenry	a	7
abhiseka	a	8
abhominable	a	11
abhor	a	5
abhorrence	a	10
abhorrency	a	10
abhorrent	a	9
abhorrently	a	11
abhorrer	a	8
abhorrible	a	10
abhorring	a	9
abhorson	a	8
abidal	a	6
abidance	a	8
abide	a	5
abider	a	6
abidi	a	5
abiding	a	7
abidingly	a	9
abidingness	a	11
abie	a	4
abies	a	5
abietate	a	8
abietene	a	8
abietic	a	7
abietin	a	7
abietineae	a	10
abietineous	a	11
abietinic	a	9
abiezer	a	7
abigail	a	7
abigail	a	7
abigailship	a	11
abigeat	a	7
abigeus	a	7
abilao	a	6
ability	a	7
abilla	a	6
abilo	a	5
abintestate	a	11
abiogenesis	a	11
abiogenesist	a	12
abiogenetic	a	11
abiogenetical	a	13
abiogenetically	a	15
abiogenist	a	10
abiogenous	a	10
abiogeny	a	8
abiological	a	11
abiologically	a	13
abiology	a	8
abiosis	a	7
abiotic	a	7
abiotrophic	a	11
abiotrophy	a	10
abipon	a	6
abir	a	4
abirritant	a	10
abirritate	a	10
abirritation	a	12
abirritative	a	12
abiston	a	7
abitibi	a	7
abiuret	a	7
abject	a	6
abjectedness	a	12
abjection	a	9
abjective	a	9
abjectly	a	8
abjectness	a	10
abjoint	a	7
